Category,Item,Supplier,Supplier Site,Order Number,Supplier Lead Time,Historical Lead Time,Variance Days,Variance Percentage
Unassociated,LTSwitchHook,Allied Manufacturing,LOS ANGELES,1005105,,,-2.55E+03,
Unassociated,LTSwitchHook,Allied Manufacturing,LOS ANGELES,1005106,,,0,
Unassociated,LTSwitchHook,Allied Manufacturing,LOS ANGELES,1005236,,,-2.35E+03,
Unassociated,LTSwitchHook,Allied Manufacturing,LOS ANGELES,1005237,,,0,
MicrophonesSmall,ECMicrophone3mm,StarElectronics,CA,EC3MMORD1001,2,3,1,50
MicrophonesSmall,ECMicrophone3mm,StarElectronics,CA,EC3MMORD1002,2,3,1,50
MicrophonesSmall,ECMicrophone3mm,StarElectronics,CA,EC3MMORD1003,2,3,1,50
MicrophonesSmall,ECMicrophone3mm,StarElectronics,CA,EC3MMORD1004,2,4,2,100
MicrophonesSmall,ECMicrophone3mm,StarElectronics,CA,EC3MMORD1005,2,5,3,150
MicrophonesSmall,ECMicrophone3mm,StarElectronics,CA,EC3MMORD1006,2,5,3,150
MicrophonesSmall,ECMicrophone3mm,StarElectronics,CA,EC3MMORD1007,2,4,2,100
MicrophonesSmall,ECMicrophone3mm,StarElectronics,CA,EC3MMORD1008,2,3,1,50
MicrophonesSmall,ECMicrophone3mm,StarElectronics,CA,EC3MMORD1009,2,3,1,50
MicrophonesSmall,ECMicrophone3mm,StarElectronics,CA,EC3MMORD1010,2,3,1,50
MicrophonesSmall,ECMicrophone3mm,StarElectronics,CA,EC3MMORD1011,2,4,2,100
MicrophonesSmall,ECMicrophone3mm,StarElectronics,CA,EC3MMORD1012,2,5,3,150
MicrophonesSmall,ECMicrophone3mm,StarElectronics,CA,EC3MMORD1013,2,5,3,150
MicrophonesSmall,ECMicrophone3mm,StarElectronics,CA,EC3MMORD1014,2,4,2,100
MicrophonesSmall,ECMicrophone3mm,StarElectronics,CA,EC3MMORD1015,2,3,1,50
MicrophonesSmall,ECMicrophone3mm,StarElectronics,CA,EC3MMORD1016,2,3,1,50
MicrophonesSmall,ECMicrophone3mm,StarElectronics,CA,EC3MMORD1017,2,3,1,50
MicrophonesSmall,ECMicrophone3mm,StarElectronics,CA,EC3MMORD1018,2,4,2,100
MicrophonesSmall,ECMicrophone3mm,StarElectronics,CA,EC3MMORD1019,2,5,3,150
MicrophonesSmall,ECMicrophone3mm,StarElectronics,CA,EC3MMORD1020,2,5,3,150
MicrophonesSmall,ECMicrophone3mm,StarElectronics,CA,EC3MMORD1021,2,4,2,100
MicrophonesSmall,ECMicrophone3mm,StarElectronics,CA,EC3MMORD1022,2,3,1,50
MicrophonesSmall,ECMicrophone3mm,StarElectronics,CA,EC3MMORD1023,2,3,1,50
MicrophonesSmall,ECMicrophone3mm,StarElectronics,CA,EC3MMORD1024,2,3,1,50
MicrophonesSmall,ECMicrophone3mm,StarElectronics,CA,EC3MMORD1025,2,4,2,100
MicrophonesSmall,ECMicrophone3mm,StarElectronics,CA,EC3MMORD1026,2,5,3,150
MicrophonesSmall,ECMicrophone3mm,StarElectronics,CA,EC3MMORD1027,2,5,3,150
MicrophonesSmall,ECMicrophone3mm,StarElectronics,CA,EC3MMORD1028,2,4,2,100
MicrophonesSmall,ECMicrophone3mm,StarElectronics,CA,EC3MMORD1029,2,3,1,50
MicrophonesSmall,ECMicrophone3mm,StarElectronics,CA,EC3MMORD1030,2,3,1,50
MicrophonesSmall,ECMicrophone3mm,StarElectronics,CA,EC3MMORD1031,2,3,1,50
MicrophonesSmall,ECMicrophone3mm,StarElectronics,CA,EC3MMORD1032,2,4,2,100
MicrophonesSmall,ECMicrophone3mm,StarElectronics,CA,EC3MMORD1033,2,5,3,150
MicrophonesSmall,ECMicrophone3mm,StarElectronics,CA,EC3MMORD1034,2,5,3,150
MicrophonesSmall,ECMicrophone3mm,StarElectronics,CA,EC3MMORD1035,2,4,2,100
MicrophonesSmall,ECMicrophone3mm,StarElectronics,CA,EC3MMORD1036,2,3,1,50
MicrophonesSmall,ECMicrophone3mm,StarElectronics,CA,EC3MMORD1037,2,3,1,50
MicrophonesSmall,ECMicrophone3mm,StarElectronics,CA,EC3MMORD1038,2,3,1,50
MicrophonesSmall,ECMicrophone3mm,StarElectronics,CA,EC3MMORD1039,2,4,2,100
MicrophonesSmall,ECMicrophone3mm,StarElectronics,CA,EC3MMORD1040,2,5,3,150
MicrophonesSmall,ECMicrophone3mm,StarElectronics,CA,EC3MMORD1041,2,5,3,150
MicrophonesSmall,ECMicrophone3mm,StarElectronics,CA,EC3MMORD1042,2,4,2,100
MicrophonesSmall,ECMicrophone3mm,StarElectronics,CA,EC3MMORD1043,2,3,1,50
MicrophonesSmall,ECMicrophone3mm,StarElectronics,CA,EC3MMORD1044,2,3,1,50
MicrophonesSmall,ECMicrophone3mm,StarElectronics,CA,EC3MMORD1045,2,3,1,50
MicrophonesSmall,ECMicrophone3mm,StarElectronics,CA,EC3MMORD1046,2,4,2,100
MicrophonesSmall,ECMicrophone3mm,StarElectronics,CA,EC3MMORD1047,2,5,3,150
